accuracy,type,participant,roi,design,target
0.5,permutation,sub-07,VO2,compact,lr
0.34375,permutation,sub-07,VO2,compact,lr
0.40625,permutation,sub-07,VO2,compact,lr
0.34375,permutation,sub-07,VO2,compact,lr
0.625,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.59375,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.3125,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.53125,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.40625,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.4375,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.53125,permutation,sub-07,VO2,compact,lr
0.40625,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.40625,permutation,sub-07,VO2,compact,lr
0.59375,permutation,sub-07,VO2,compact,lr
0.375,permutation,sub-07,VO2,compact,lr
0.59375,permutation,sub-07,VO2,compact,lr
0.4375,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.4375,permutation,sub-07,VO2,compact,lr
0.59375,permutation,sub-07,VO2,compact,lr
0.625,permutation,sub-07,VO2,compact,lr
0.71875,permutation,sub-07,VO2,compact,lr
0.5625,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.6875,permutation,sub-07,VO2,compact,lr
0.59375,permutation,sub-07,VO2,compact,lr
0.375,permutation,sub-07,VO2,compact,lr
0.28125,permutation,sub-07,VO2,compact,lr
0.40625,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.40625,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.4375,permutation,sub-07,VO2,compact,lr
0.3125,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.375,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.3125,permutation,sub-07,VO2,compact,lr
0.34375,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.59375,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.59375,permutation,sub-07,VO2,compact,lr
0.4375,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.40625,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.46875,permutation,sub-07,VO2,compact,lr
0.5,permutation,sub-07,VO2,compact,lr
0.5625,permutation,sub-07,VO2,compact,lr
