accuracy,type,participant,roi,design,target
0.5625,permutation,sub-04,SPL1,compact,fb
0.5625,permutation,sub-04,SPL1,compact,fb
0.8125,permutation,sub-04,SPL1,compact,fb
0.4375,permutation,sub-04,SPL1,compact,fb
0.5625,permutation,sub-04,SPL1,compact,fb
0.4375,permutation,sub-04,SPL1,compact,fb
0.4375,permutation,sub-04,SPL1,compact,fb
0.5,permutation,sub-04,SPL1,compact,fb
0.625,permutation,sub-04,SPL1,compact,fb
0.5625,permutation,sub-04,SPL1,compact,fb
0.625,permutation,sub-04,SPL1,compact,fb
0.5,permutation,sub-04,SPL1,compact,fb
0.4375,permutation,sub-04,SPL1,compact,fb
0.5625,permutation,sub-04,SPL1,compact,fb
0.5625,permutation,sub-04,SPL1,compact,fb
0.375,permutation,sub-04,SPL1,compact,fb
0.375,permutation,sub-04,SPL1,compact,fb
0.6875,permutation,sub-04,SPL1,compact,fb
0.5,permutation,sub-04,SPL1,compact,fb
0.5,permutation,sub-04,SPL1,compact,fb
0.375,permutation,sub-04,SPL1,compact,fb
0.5625,permutation,sub-04,SPL1,compact,fb
0.5625,permutation,sub-04,SPL1,compact,fb
0.4375,permutation,sub-04,SPL1,compact,fb
0.3125,permutation,sub-04,SPL1,compact,fb
0.5,permutation,sub-04,SPL1,compact,fb
0.5,permutation,sub-04,SPL1,compact,fb
0.625,permutation,sub-04,SPL1,compact,fb
0.6875,permutation,sub-04,SPL1,compact,fb
0.4375,permutation,sub-04,SPL1,compact,fb
0.4375,permutation,sub-04,SPL1,compact,fb
0.625,permutation,sub-04,SPL1,compact,fb
0.5,permutation,sub-04,SPL1,compact,fb
0.5625,permutation,sub-04,SPL1,compact,fb
0.625,permutation,sub-04,SPL1,compact,fb
0.5,permutation,sub-04,SPL1,compact,fb
0.5,permutation,sub-04,SPL1,compact,fb
0.5,permutation,sub-04,SPL1,compact,fb
0.5,permutation,sub-04,SPL1,compact,fb
0.4375,permutation,sub-04,SPL1,compact,fb
0.5625,permutation,sub-04,SPL1,compact,fb
0.5625,permutation,sub-04,SPL1,compact,fb
0.75,permutation,sub-04,SPL1,compact,fb
0.4375,permutation,sub-04,SPL1,compact,fb
