ROIs,mean_accuracies,p_values,CI_lower,CI_higher,permutation_chance,target_decode
V1,0.48355263157894735,0.7002997002997003,0.46190121710492016,0.5052040460529745,0.5231085526315788,fb
V2,0.49835526315789475,0.3696303696303696,0.476150957629348,0.5205595686864415,0.5231085526315788,fb
V3,0.49506578947368424,0.4485514485514486,0.4767670044100696,0.5133645745372989,0.5231085526315788,fb
V3b,0.524671052631579,0.029970029970029972,0.4864530030265539,0.562889102236604,0.5213815789473685,fb
hV4,0.4720394736842105,0.8991008991008991,0.44730166697364376,0.49677728039477725,0.5213815789473685,fb
LO1,0.4786184210526316,0.8021978021978022,0.4429313411492298,0.5143055009560333,0.5213815789473685,fb
LO2,0.4786184210526316,0.8021978021978022,0.4339247211490173,0.5233121209562459,0.5213815789473685,fb
VO1,0.49835526315789475,0.40559440559440557,0.4704585391839877,0.5262519871318018,0.5213815789473685,fb
VO2,0.4753289473684211,0.8591408591408591,0.44661635780419234,0.5040415369326499,0.5213815789473685,fb
V3a,0.5115131578947368,0.0999000999000999,0.48411761347832016,0.5389087023111535,0.518174342105263,fb
hMT,0.5180921052631579,0.05094905094905095,0.4763782929079256,0.55980591761839,0.518174342105263,fb
MST,0.5016447368421053,0.25774225774225773,0.483825479332979,0.5194639943512317,0.518174342105263,fb
SPL1,0.4901315789473684,0.37462537462537465,0.4620081323946534,0.5182550255000835,0.5164473684210527,fb
IPS_posterior,0.4819078947368421,0.5354645354645354,0.44153028506805764,0.5222855044056265,0.5164473684210527,fb
IPS_anterior,0.4786184210526316,0.5984015984015985,0.452517894863288,0.5047189472419752,0.5164473684210527,fb
