ROIs,mean_accuracies,p_values,CI_lower,CI_higher,permutation_chance,target_decode
V1,0.8618421052631579,0.000999000999000999,0.8144646874043884,0.9092195231219273,0.6710526315789473,fb
V2,0.8618421052631579,0.000999000999000999,0.8154000219760119,0.9082841885503038,0.6710526315789473,fb
V3,0.8552631578947368,0.01098901098901099,0.7870318778718918,0.9234944379175819,0.6710526315789473,fb
V3b,0.7138157894736842,0.03496503496503497,0.655078547043858,0.7725530319035103,0.6776315789473685,fb
hV4,0.8947368421052632,0.000999000999000999,0.8608930441950703,0.928580640015456,0.6776315789473685,fb
LO1,0.6644736842105263,0.06593406593406594,0.6267574250769514,0.7021899433441012,0.6776315789473685,fb
LO2,0.6546052631578947,0.07092907092907093,0.5855330433363582,0.7236774829794311,0.6776315789473685,fb
VO1,0.8157894736842105,0.01098901098901099,0.7766313120643263,0.8549476353040947,0.6776315789473685,fb
VO2,0.7269736842105263,0.01098901098901099,0.6661124946164885,0.7878348738045642,0.6776315789473685,fb
V3a,0.7236842105263158,0.000999000999000999,0.6497357556723578,0.7976326653802739,0.6118421052631579,fb
hMT,0.7006578947368421,0.01098901098901099,0.6440019279282069,0.7573138615454774,0.6118421052631579,fb
MST,0.5986842105263158,0.07592407592407592,0.5377471814142651,0.6596212396383665,0.6118421052631579,fb
SPL1,0.5,0.7892107892107892,0.43052774467254107,0.5694722553274589,0.569078947368421,fb
IPS_posterior,0.5888157894736842,0.000999000999000999,0.5278787603616335,0.6497528185857349,0.569078947368421,fb
IPS_anterior,0.5164473684210527,0.5684315684315684,0.45233404999447757,0.5805606868476277,0.569078947368421,fb
