ROIs,mean_accuracies,p_values,CI_lower,CI_higher,permutation_chance,target_decode
V1,0.8421052631578947,0.01098901098901099,0.7896394531093789,0.8945710732064105,0.7236842105263158,fb
V2,0.8552631578947368,0.01098901098901099,0.80222824022386,0.9082980755656137,0.7236842105263158,fb
V3,0.9144736842105263,0.000999000999000999,0.8565679512720302,0.9723794171490224,0.7236842105263158,fb
V3b,0.8848684210526315,0.000999000999000999,0.8406683022788408,0.9290685398264222,0.7138157894736842,fb
hV4,0.8717105263157895,0.01098901098901099,0.7970782124329654,0.9463428401986136,0.7138157894736842,fb
LO1,0.8388157894736842,0.01098901098901099,0.7723677458582631,0.9052638330891053,0.7138157894736842,fb
LO2,0.8585526315789473,0.01098901098901099,0.799423541959136,0.9176817211987587,0.7138157894736842,fb
VO1,0.881578947368421,0.01098901098901099,0.8286748188428094,0.9344830758940327,0.7138157894736842,fb
VO2,0.8848684210526315,0.000999000999000999,0.8232530367657798,0.9464838053394833,0.7138157894736842,fb
V3a,0.875,0.000999000999000999,0.8300743911891257,0.9199256088108743,0.694078947368421,fb
hMT,0.8256578947368421,0.01098901098901099,0.771374925895055,0.8799408635786293,0.694078947368421,fb
MST,0.7631578947368421,0.01098901098901099,0.67854839996136,0.8477673895123243,0.694078947368421,fb
SPL1,0.7631578947368421,0.01098901098901099,0.7034845416663286,0.8228312478073557,0.6907894736842105,fb
IPS_posterior,0.881578947368421,0.000999000999000999,0.8312243155426228,0.9319335791942193,0.6907894736842105,fb
IPS_anterior,0.8519736842105263,0.01098901098901099,0.8068429345665119,0.8971044338545408,0.6907894736842105,fb
