ROIs,mean_accuracies,p_values,CI_lower,CI_higher,permutation_chance,target_decode
V1,0.7894736842105263,0.000999000999000999,0.7419168691400397,0.8370304992810129,0.5337171052631579,fb
V2,0.7976973684210527,0.000999000999000999,0.7503077665790912,0.8450869702630142,0.5337171052631579,fb
V3,0.8453947368421053,0.000999000999000999,0.8011521885555682,0.8896372851286424,0.5337171052631579,fb
V3b,0.8075657894736842,0.000999000999000999,0.7543136037170372,0.8608179752303312,0.5386924342105263,fb
hV4,0.7960526315789473,0.000999000999000999,0.7515888040888993,0.8405164590689954,0.5386924342105263,fb
LO1,0.7927631578947368,0.000999000999000999,0.7451790366026226,0.840347279186851,0.5386924342105263,fb
LO2,0.7738486842105263,0.000999000999000999,0.7234911861962734,0.8242061822247793,0.5386924342105263,fb
VO1,0.7976973684210527,0.000999000999000999,0.7484351704646046,0.8469595663775007,0.5386924342105263,fb
VO2,0.787828947368421,0.000999000999000999,0.734511753832831,0.8411461409040111,0.5386924342105263,fb
V3a,0.8149671052631579,0.000999000999000999,0.7729258774520172,0.8570083330742985,0.5361842105263158,fb
hMT,0.7894736842105263,0.000999000999000999,0.7493614600547438,0.8295859083663089,0.5361842105263158,fb
MST,0.6529605263157895,0.000999000999000999,0.6024284982263975,0.7034925544051814,0.5361842105263158,fb
SPL1,0.7195723684210527,0.000999000999000999,0.6751702579291784,0.7639744789129269,0.5337171052631579,fb
IPS_posterior,0.8618421052631579,0.000999000999000999,0.8156962018112858,0.9079880087150299,0.5337171052631579,fb
IPS_anterior,0.8149671052631579,0.000999000999000999,0.7751365259162843,0.8547976846100314,0.5337171052631579,fb
