ROIs,mean_accuracies,p_values,CI_lower,CI_higher,permutation_chance,target_decode
V1,0.4979440789473684,0.6943056943056943,0.46534940264671504,0.5305387552480219,0.5172697368421053,lr
V2,0.4683388157894737,1.0,0.4448474206083938,0.49183021097055357,0.5172697368421053,lr
V3,0.4745065789473684,1.0,0.45314372868943587,0.49586942920530097,0.5172697368421053,lr
V3b,0.4901315789473684,0.99000999000999,0.4601212636433562,0.5201418942513807,0.5205592105263158,lr
hV4,0.4732730263157895,1.0,0.44932376101757254,0.49722229161400644,0.5205592105263158,lr
LO1,0.4810855263157895,1.0,0.4568799996550929,0.5052910529764861,0.5205592105263158,lr
LO2,0.5049342105263158,0.6213786213786214,0.4776932019085021,0.5321752191441296,0.5205592105263158,lr
VO1,0.4810855263157895,1.0,0.45547624299300815,0.5066948096385708,0.5205592105263158,lr
VO2,0.501233552631579,0.7952047952047953,0.48034380227321144,0.5221233029899465,0.5205592105263158,lr
V3a,0.49136513157894735,0.9070929070929071,0.46513222655468944,0.5175980366032052,0.5176809210526315,lr
hMT,0.49054276315789475,0.9250749250749251,0.45583469334048365,0.5252508329753058,0.5176809210526315,lr
MST,0.49054276315789475,0.9250749250749251,0.46593658035531577,0.5151489459604737,0.5176809210526315,lr
SPL1,0.48848684210526316,0.9280719280719281,0.46955614427808806,0.5074175399324383,0.5185032894736842,lr
IPS_posterior,0.49712171052631576,0.6883116883116883,0.4762994331392743,0.5179439879133572,0.5185032894736842,lr
IPS_anterior,0.48848684210526316,0.9280719280719281,0.4546633070704248,0.5223103771401015,0.5185032894736842,lr
