ROIs,mean_accuracies,p_values,CI_lower,CI_higher,permutation_chance,target_decode
V1,0.7236842105263158,0.000999000999000999,0.6688088924526232,0.7785595286000084,0.5986842105263158,lr
V2,0.6480263157894737,0.01098901098901099,0.5829832520832882,0.7130693794956592,0.5986842105263158,lr
V3,0.6776315789473685,0.01098901098901099,0.6167324577886673,0.7385307001060697,0.5986842105263158,lr
V3b,0.5723684210526315,0.14385614385614387,0.507967597513849,0.636769244591414,0.5986842105263158,lr
hV4,0.6710526315789473,0.01098901098901099,0.6141932315599098,0.7279120315979849,0.5986842105263158,lr
LO1,0.680921052631579,0.000999000999000999,0.610885991662116,0.750956113601042,0.5986842105263158,lr
LO2,0.6480263157894737,0.01098901098901099,0.5956927171482118,0.7003599144307355,0.5986842105263158,lr
VO1,0.6414473684210527,0.01098901098901099,0.5877632843842737,0.6951314524578316,0.5986842105263158,lr
VO2,0.6348684210526315,0.01098901098901099,0.5627539457550577,0.7069828963502054,0.5986842105263158,lr
V3a,0.5657894736842105,0.15184815184815184,0.4911571598013864,0.6404217875670346,0.6019736842105263,lr
hMT,0.7302631578947368,0.000999000999000999,0.6780621055160496,0.782464210273424,0.6019736842105263,lr
MST,0.6644736842105263,0.013986013986013986,0.600108728579588,0.7288386398414647,0.6019736842105263,lr
SPL1,0.5625,0.08791208791208792,0.5032538615893836,0.6217461384106164,0.5723684210526315,lr
IPS_posterior,0.6019736842105263,0.000999000999000999,0.5362595094899901,0.6676878589310625,0.5723684210526315,lr
IPS_anterior,0.5625,0.08791208791208792,0.5055188886750427,0.6194811113249573,0.5723684210526315,lr
