ROIs,mean_accuracies,p_values,CI_lower,CI_higher,permutation_chance,target_decode
V1,0.6603618421052632,0.000999000999000999,0.6067100298381797,0.7140136543723467,0.5337171052631579,lr
V2,0.6044407894736842,0.000999000999000999,0.5677801743899431,0.6411014045574253,0.5337171052631579,lr
V3,0.6504934210526315,0.000999000999000999,0.6097138926564649,0.6912729494487981,0.5337171052631579,lr
V3b,0.5797697368421053,0.000999000999000999,0.537752547308991,0.6217869263752196,0.5386513157894737,lr
hV4,0.6208881578947368,0.000999000999000999,0.5679049723220992,0.6738713434673744,0.5386513157894737,lr
LO1,0.6208881578947368,0.000999000999000999,0.5786141267166434,0.6631621890728303,0.5386513157894737,lr
LO2,0.5962171052631579,0.000999000999000999,0.5651249494714519,0.6273092610548638,0.5386513157894737,lr
VO1,0.5879934210526315,0.000999000999000999,0.555950271705455,0.6200365703998081,0.5386513157894737,lr
VO2,0.5493421052631579,0.004995004995004995,0.4974878154071794,0.6011963951191364,0.5386513157894737,lr
V3a,0.5641447368421053,0.001998001998001998,0.5284819311144427,0.5998075425697679,0.5328947368421053,lr
hMT,0.6957236842105263,0.000999000999000999,0.6491574572020808,0.7422899112189718,0.5328947368421053,lr
MST,0.6011513157894737,0.000999000999000999,0.5614514002589476,0.6408512313199998,0.5328947368421053,lr
SPL1,0.5032894736842105,0.7202797202797203,0.46979288876069286,0.5367860586077281,0.5337582236842104,lr
IPS_posterior,0.569078947368421,0.000999000999000999,0.5332304596766974,0.6049274350601447,0.5337582236842104,lr
IPS_anterior,0.5575657894736842,0.000999000999000999,0.5302493849753812,0.5848821939719872,0.5337582236842104,lr
