ROIs,mean_accuracies,p_values,CI_lower,CI_higher,permutation_chance,target_decode
V1,0.8947368421052632,0.000999000999000999,0.8571317219131821,0.9323419622973442,0.5345805921052631,lr
V2,0.8733552631578947,0.000999000999000999,0.8241253039042196,0.9225852224115698,0.5345805921052631,lr
V3,0.8939144736842105,0.000999000999000999,0.8328638619403044,0.9549650854281166,0.5345805921052631,lr
V3b,0.8330592105263158,0.000999000999000999,0.7835427732290849,0.8825756478235467,0.5394736842105263,lr
hV4,0.8075657894736842,0.000999000999000999,0.7507267000107578,0.8644048789366106,0.5394736842105263,lr
LO1,0.7557565789473685,0.000999000999000999,0.7133938728182136,0.7981192850765233,0.5394736842105263,lr
LO2,0.727796052631579,0.000999000999000999,0.6723112952599043,0.7832808100032537,0.5394736842105263,lr
VO1,0.8108552631578947,0.000999000999000999,0.7488988273936356,0.8728116989221538,0.5394736842105263,lr
VO2,0.8100328947368421,0.000999000999000999,0.7515196860282551,0.8685461034454292,0.5394736842105263,lr
V3a,0.8519736842105263,0.000999000999000999,0.7999027436382264,0.9040446247828262,0.5353618421052632,lr
hMT,0.6973684210526315,0.000999000999000999,0.6429367605678451,0.751800081537418,0.5353618421052632,lr
MST,0.571546052631579,0.000999000999000999,0.5297630974933475,0.6133290077698105,0.5353618421052632,lr
SPL1,0.71875,0.000999000999000999,0.6609565383484121,0.7765434616515879,0.5337171052631579,lr
IPS_posterior,0.850328947368421,0.000999000999000999,0.7946961160779858,0.9059617786588562,0.5337171052631579,lr
IPS_anterior,0.7763157894736842,0.000999000999000999,0.7125206756514482,0.8401109032959202,0.5337171052631579,lr
